gameDuration,win,FirstBlood,FirstTower,FirstBaron,FirstDragon,wardPlaced,wardKills,totalMinionKills,jungleMinionKills,totalHeal
2098,Red,1,1,0,0,0,1,1,0,1
1686,Red,1,0,1,1,0,1,1,1,1
1588,Blue,1,1,1,0,1,1,1,1,0
1126,Blue,0,1,0,1,0,1,1,1,0
1262,Blue,0,0,0,1,1,0,1,1,0
1628,Blue,1,0,0,0,0,1,1,1,1
1692,Red,1,1,1,1,0,1,0,1,1
1903,Red,1,0,1,0,1,0,0,1,1
1381,Blue,1,1,1,1,0,0,0,1,0
1313,Red,1,0,1,1,1,1,0,1,0
1660,Blue,0,0,1,1,0,1,1,1,1
1356,Red,1,1,1,0,1,1,1,0,1
1209,Red,1,1,1,1,0,1,1,1,0
2224,Blue,1,0,0,0,0,1,1,0,0
984,Blue,1,1,0,1,1,0,1,1,1
1222,Blue,0,0,0,1,1,0,0,1,1
1835,Blue,0,1,0,0,0,1,1,0,0
1430,Red,1,1,1,1,1,1,1,1,0
1215,Blue,1,1,0,1,1,1,1,1,0
2016,Red,0,1,1,1,1,0,1,1,1
1821,Blue,0,1,1,0,1,1,1,1,1
1329,Blue,1,1,0,1,0,1,0,1,0
2310,Blue,1,1,0,1,1,0,0,1,1
1822,Blue,1,1,0,1,0,0,1,1,1
1401,Blue,0,0,0,0,1,1,0,1,0
1337,Blue,1,1,0,1,0,1,1,0,1
1109,Blue,0,1,0,1,0,1,1,1,1
1816,Blue,1,1,0,1,1,0,0,0,0
962,Blue,1,1,0,1,1,1,1,1,0
967,Red,1,1,1,0,1,0,0,1,1
2323,Red,0,0,1,1,1,1,0,1,0
1459,Red,1,1,1,1,0,1,1,1,1
1845,Blue,1,1,0,1,0,1,0,1,1
1725,Red,1,0,1,1,1,1,0,1,0
1736,Red,0,1,1,0,0,1,0,1,0
2236,Blue,0,0,1,0,1,0,0,1,1
1373,Blue,1,1,0,0,1,1,0,1,1
1182,Blue,1,1,0,1,0,1,1,1,1
1224,Red,1,1,1,1,1,0,0,1,1
1413,Red,1,0,1,1,1,1,0,1,1
1531,Blue,1,1,1,1,1,1,0,1,1
1497,Blue,1,1,1,0,1,1,0,0,1
1600,Red,1,1,1,0,0,1,1,1,1
1973,Red,1,1,1,1,1,0,0,1,0
1012,Red,1,0,1,1,0,1,1,1,1
1585,Red,1,0,1,1,1,1,1,1,1
1361,Blue,1,1,0,0,0,0,1,0,1
1527,Blue,1,1,1,1,0,1,1,1,1
1795,Blue,1,1,0,1,1,0,0,1,1
1636,Blue,1,0,1,0,1,0,0,0,0
1725,Red,1,1,1,1,1,1,1,1,1
1504,Blue,1,0,0,1,1,1,1,0,0
2166,Blue,0,0,0,1,1,0,1,1,1
1813,Red,1,0,1,0,0,1,1,1,1
944,Red,0,1,1,1,0,1,1,1,1
2002,Red,0,0,1,0,1,0,1,1,1
940,Red,1,1,1,1,1,0,1,1,0
1670,Blue,1,0,0,0,1,0,0,0,0
1027,Red,1,0,1,1,1,1,0,0,1
1649,Red,0,1,1,0,1,1,1,1,1
1573,Red,1,1,1,1,1,1,1,1,1
1715,Red,0,0,1,0,1,1,1,0,1
926,Blue,1,1,0,1,1,0,1,1,1
2196,Blue,0,1,1,0,1,0,1,1,1
1432,Red,1,0,1,1,1,1,1,1,1
1861,Red,1,1,1,0,1,1,1,1,0
1620,Blue,1,0,0,0,0,1,1,1,1
1498,Red,1,1,1,0,1,0,0,0,1
2864,Blue,1,1,0,0,1,1,1,1,0
2206,Red,0,1,0,0,1,1,1,1,1
1370,Blue,0,1,0,0,0,0,0,1,1
1372,Blue,0,1,1,1,0,1,1,1,1
1802,Blue,1,1,1,0,0,1,0,1,0
1175,Red,1,1,1,1,0,0,1,0,0
1412,Blue,1,1,0,1,0,1,1,1,1
1685,Red,1,1,1,1,1,1,1,1,0
932,Blue,1,0,0,1,1,1,1,0,0
1621,Blue,0,0,0,1,0,1,1,1,1
920,Red,0,1,1,1,1,1,1,1,1
1681,Blue,1,0,0,1,1,1,1,0,1
1138,Red,0,1,1,0,1,0,1,0,1
1308,Blue,1,0,0,1,0,1,1,1,1
1665,Blue,1,1,0,0,1,0,1,1,1
1317,Blue,0,1,0,1,1,1,1,0,1
1321,Blue,1,1,0,0,1,0,1,1,1
2261,Blue,0,0,0,0,0,0,1,1,1
937,Blue,1,1,0,1,1,0,1,1,1
1668,Blue,0,0,0,0,0,0,1,1,1
1566,Red,0,1,1,1,1,1,0,1,0
945,Red,1,1,1,1,1,1,1,1,1
1317,Blue,0,1,1,0,0,1,0,1,1
1583,Red,0,1,1,1,1,0,0,1,1
1338,Red,1,1,1,1,0,1,1,1,0
1134,Blue,0,1,0,1,1,1,1,1,1
1284,Blue,0,1,1,0,1,0,1,1,0
1281,Red,0,1,1,1,0,1,1,1,1
1361,Blue,0,1,1,0,0,1,1,1,1
1523,Blue,0,1,1,0,0,1,1,1,1
2236,Red,1,1,1,1,1,1,1,1,1
1890,Blue,0,1,1,0,1,0,0,1,0
1821,Red,1,0,1,0,1,1,1,0,0
1939,Blue,1,1,0,1,1,0,0,1,1
1128,Blue,1,1,0,1,0,1,1,1,1
2124,Blue,1,1,1,0,0,0,1,1,1
1485,Red,1,1,1,1,1,1,1,1,1
1643,Red,1,1,1,1,0,1,1,0,0
1674,Blue,0,1,0,0,0,1,1,1,1
1689,Blue,1,0,1,1,1,0,0,1,1
1294,Blue,0,1,0,0,1,1,1,1,1
1773,Red,0,0,1,0,0,0,1,0,1
941,Red,1,1,1,1,1,1,1,1,1
1203,Red,0,0,1,1,1,1,1,1,1
1482,Red,0,0,1,1,1,1,1,0,1
2463,Blue,1,0,0,1,0,1,1,1,1
1146,Blue,1,1,0,0,0,1,1,1,1
1932,Red,1,1,1,0,1,0,1,1,0
1296,Red,0,0,1,0,1,1,1,1,1
1628,Red,1,1,1,1,1,0,0,1,1
1358,Blue,0,1,1,1,1,1,1,1,1
1838,Blue,0,0,1,1,1,0,0,1,0
1244,Red,1,1,1,1,1,0,1,1,1
962,Red,0,1,1,1,1,0,1,1,1
1632,Red,1,1,1,0,1,0,0,0,1
1447,Blue,0,1,1,1,1,1,1,1,1
1750,Blue,1,1,0,1,0,1,0,1,1
1982,Red,1,1,0,1,0,1,0,1,1
932,Blue,1,1,0,1,1,1,1,0,1
1261,Blue,1,0,0,0,1,0,0,1,1
1895,Red,1,1,1,1,0,1,1,1,1
2024,Blue,0,0,1,0,0,0,1,1,1
1371,Blue,1,1,0,0,0,1,1,1,1
1527,Blue,0,1,1,1,1,0,1,1,1
1868,Blue,1,1,1,1,1,0,0,1,0
1702,Red,0,1,1,0,0,1,0,1,1
1364,Red,1,1,1,0,0,1,1,1,1
1266,Blue,1,1,0,1,0,0,1,1,0
980,Red,0,1,1,1,0,1,1,1,1
1357,Red,1,1,1,1,0,1,1,1,1
1665,Red,0,0,1,1,0,0,0,1,1
1284,Blue,0,0,0,1,0,1,1,1,1
1377,Red,1,1,1,0,1,0,1,1,1
2399,Blue,0,1,0,0,0,0,1,1,0
1408,Blue,1,1,0,1,1,0,0,1,0
1491,Red,1,0,1,0,1,1,0,1,1
1033,Red,1,1,1,1,0,0,1,1,0
2396,Red,1,0,0,0,1,1,1,1,1
1993,Red,0,1,1,0,0,1,0,0,1
1214,Red,1,1,1,1,1,1,1,1,1
1628,Red,1,0,1,0,0,1,1,0,0
1371,Red,1,0,1,1,1,0,0,1,0
1586,Blue,0,1,0,1,0,0,1,1,0
1581,Blue,0,1,0,0,0,1,1,0,0
1438,Blue,1,1,1,0,0,1,1,1,0
925,Blue,1,1,0,1,1,0,1,1,1
811,Red,0,1,1,0,1,0,1,1,0
1363,Red,1,1,1,1,0,1,0,1,0
918,Red,1,1,1,1,0,0,1,1,1
1085,Red,1,1,1,0,0,1,1,0,0
1719,Blue,1,0,1,0,1,0,0,0,1
1541,Red,1,0,1,1,1,0,0,0,1
1601,Blue,0,1,1,1,0,1,1,1,1
1821,Red,1,1,1,0,1,0,1,0,1
1557,Blue,1,1,0,1,0,0,1,1,1
1213,Red,0,1,1,0,1,0,0,0,1
1354,Red,0,0,1,1,1,0,0,1,0
1174,Blue,1,1,0,0,1,0,1,1,0
1892,Blue,0,1,1,0,1,1,1,1,0
918,Red,1,1,1,1,1,0,1,1,1
917,Blue,1,1,0,1,0,1,1,0,1
1236,Red,1,1,1,1,1,0,1,1,0
1156,Red,0,1,1,0,1,1,1,1,0
1639,Red,1,1,1,1,1,1,1,1,1
1087,Blue,0,1,0,0,1,0,0,0,1
1035,Blue,1,1,0,1,1,0,0,1,1
1587,Red,0,1,1,0,1,0,1,1,1
1317,Red,0,0,1,1,0,0,0,1,1
1184,Blue,1,1,0,0,1,0,1,1,0
1465,Blue,1,0,0,0,1,1,1,1,1
1866,Blue,1,1,1,1,1,1,1,1,0
1318,Red,1,0,1,1,1,1,1,1,1
1929,Red,0,0,1,1,0,1,1,1,1
1686,Red,1,1,1,0,0,1,1,1,1
1585,Red,1,1,1,0,1,0,0,0,1
1691,Blue,0,1,0,1,0,0,1,0,1
1958,Red,0,0,1,1,1,1,0,1,1
1471,Red,0,1,1,1,0,1,1,1,1
1431,Blue,1,1,0,1,1,1,0,1,0
2056,Red,1,0,1,1,1,0,0,1,1
1729,Red,0,1,1,0,1,1,1,1,1
1933,Red,0,1,1,1,0,1,0,1,1
1960,Blue,0,1,0,0,1,1,1,1,0
1353,Blue,1,1,0,1,1,1,1,1,1
1111,Blue,1,1,0,0,0,1,1,1,1
1284,Blue,1,1,0,1,1,1,1,1,1
2052,Blue,0,1,0,1,0,0,1,0,0
1559,Red,0,0,1,1,1,1,1,0,1
1116,Red,1,1,1,0,1,1,1,1,0
1903,Red,0,0,1,1,1,1,1,1,1
1805,Red,1,1,1,1,0,1,0,1,1
1213,Red,1,1,1,1,1,0,1,0,0
1932,Red,1,1,1,1,0,1,1,1,1
1670,Red,0,0,1,0,1,0,1,0,1
1718,Red,0,0,1,1,1,1,0,1,1
913,Red,0,1,1,1,1,1,1,1,1
1211,Red,1,1,1,1,1,1,1,1,0
2354,Blue,0,0,0,0,1,0,0,1,0
1585,Blue,1,1,0,1,1,1,1,1,1
1791,Red,0,0,1,1,1,0,1,1,1
194,Blue,1,0,0,0,1,0,1,1,1
1546,Red,1,1,1,1,0,1,1,1,1
1328,Blue,1,1,0,1,1,1,1,1,1
1928,Red,1,1,0,1,0,1,1,1,0
1388,Blue,1,1,0,1,0,1,1,1,1
1376,Blue,1,1,0,1,1,1,1,0,0
2176,Blue,0,1,1,0,1,1,0,1,0
1446,Red,1,0,1,1,1,1,1,1,0
1719,Blue,1,1,1,1,1,1,1,1,1
2104,Red,1,1,1,1,0,1,0,1,0
970,Red,0,1,1,0,1,1,1,0,0
951,Red,1,1,1,1,1,0,0,1,1
1787,Blue,0,1,1,1,1,1,0,1,0
1882,Red,1,1,1,1,1,1,0,1,1
2085,Red,0,0,0,0,0,0,1,0,1
2171,Blue,0,1,0,0,1,1,1,1,0
1663,Blue,0,1,1,0,1,0,0,1,1
794,Blue,0,1,0,1,1,0,1,0,0
946,Red,1,1,1,1,0,1,1,1,1
1698,Blue,0,1,1,1,1,0,0,1,1
1120,Blue,0,1,0,1,1,1,1,1,1
941,Red,1,1,1,1,0,1,1,1,0
1109,Red,1,1,1,1,0,1,1,1,1
1401,Blue,1,0,1,1,1,1,1,1,1
925,Red,0,1,1,1,0,1,1,1,0
1387,Red,1,1,1,0,1,0,1,1,1
933,Blue,1,1,0,0,1,1,1,0,0
1569,Blue,1,0,0,1,0,1,0,1,1
1072,Red,1,1,1,1,0,0,1,0,0
195,Blue,0,0,0,0,1,1,1,1,1
951,Red,1,0,1,1,1,0,1,1,1
1998,Blue,1,1,1,1,1,1,0,1,1
1255,Blue,0,1,0,0,1,0,1,1,1
1370,Blue,1,1,1,1,0,1,1,1,1
1825,Red,1,1,1,0,0,1,1,1,1
1348,Blue,0,1,0,1,1,0,1,0,0
1188,Red,1,1,1,0,1,0,1,0,1
991,Red,1,1,1,1,1,1,1,1,1
2227,Red,1,0,1,1,1,0,0,0,0
1732,Red,0,1,1,1,0,1,0,1,1
975,Red,0,1,1,0,1,0,1,1,0
2083,Red,0,0,1,1,1,0,0,0,1
976,Blue,1,1,0,1,1,1,1,1,1
1177,Red,1,1,1,1,0,1,1,1,1
2074,Blue,1,0,1,1,1,0,0,1,1
1604,Red,1,0,1,1,0,1,1,1,1
2143,Red,1,0,1,1,0,0,1,0,0
922,Blue,1,1,0,1,1,1,1,1,1
1699,Red,1,1,1,1,1,0,1,1,1
959,Red,0,1,1,0,1,1,1,1,0
1029,Blue,1,1,0,0,1,1,1,1,1
919,Red,1,1,1,1,1,1,1,1,1
1511,Blue,1,0,0,1,0,1,1,0,0
953,Blue,0,1,0,1,1,1,1,1,0
2301,Blue,0,1,1,0,0,1,0,1,1
2119,Blue,0,1,1,1,0,1,1,0,0
2152,Blue,1,1,0,0,0,1,0,1,1
951,Red,1,1,1,0,1,1,1,1,0
1232,Blue,1,0,0,0,1,1,1,1,1
